Element Name,Number,Deviation,MX Coord.,MY Coord.,MZ Coord.
Point001,1,0.019,-188.223,-197.212,442.153
Point001,2,0.025,-188.216,-197.172,442.143
Point001,3,0.017,-188.209,-197.181,442.155
Point001,4,0.016,-188.220,-197.209,442.160
Point001,5,0.044,-188.235,-197.234,442.166
Point001,6,0.015,-188.233,-197.201,442.158
Point001,7,0.047,-188.215,-197.149,442.141
Point001,8,0.009,-188.218,-197.188,442.161
Point002,1,0.186,-178.218,-196.603,442.278
Point002,2,0.034,-178.293,-196.481,442.111
Point002,3,0.030,-178.298,-196.488,442.114
Point002,4,0.032,-178.295,-196.484,442.113
Point002,5,0.025,-178.300,-196.509,442.117
Point002,6,0.036,-178.298,-196.483,442.109
Point002,7,0.041,-178.292,-196.469,442.113
Point003,1,0.009,-188.309,-197.186,432.132
Point003,2,0.024,-188.302,-197.198,432.139
Point003,3,0.015,-188.312,-197.163,432.127
Point003,4,0.006,-188.316,-197.179,432.128
Point003,5,0.004,-188.313,-197.173,432.129
Point003,6,0.016,-188.314,-197.162,432.126
Point003,7,0.004,-188.313,-197.180,432.133
Point004,1,0.015,-178.298,-196.415,432.129
Point004,2,0.012,-178.290,-196.402,432.123
Point004,3,0.008,-178.299,-196.397,432.123
Point004,4,0.012,-178.306,-196.394,432.114
Point004,5,0.019,-178.303,-196.390,432.107
Point004,6,0.015,-178.311,-196.411,432.111
Point004,7,0.018,-178.296,-196.421,432.123
Point005,1,0.018,-188.689,-190.657,448.774
Point005,2,0.013,-188.691,-190.656,448.761
Point005,3,0.002,-188.685,-190.644,448.762
Point005,4,0.005,-188.684,-190.646,448.765
Point005,5,0.051,-188.681,-190.594,448.753
Point005,6,0.006,-188.691,-190.647,448.758
Point005,7,0.010,-188.695,-190.651,448.761
Point005,8,0.010,-188.686,-190.653,448.763
Point006,1,0.029,-190.678,-165.633,448.865
Point006,2,0.019,-190.660,-165.651,448.853
Point006,3,0.009,-190.653,-165.642,448.848
Point006,4,0.021,-190.648,-165.651,448.852
Point006,5,0.014,-190.660,-165.646,448.850
Point006,6,0.087,-190.637,-165.551,448.825
Point006,7,0.023,-190.654,-165.655,448.843
Point007,1,0.006,-178.771,-189.764,448.692
Point007,2,0.009,-178.770,-189.777,448.686
Point007,3,0.017,-178.772,-189.753,448.688
Point007,4,0.048,-178.770,-189.817,448.700
Point007,5,0.009,-178.780,-189.767,448.696
Point007,6,0.029,-178.773,-189.741,448.690
Point007,7,0.004,-178.775,-189.768,448.688
Point008,1,0.018,-180.748,-164.805,448.816
Point008,2,0.009,-180.742,-164.816,448.808
Point008,3,0.006,-180.748,-164.818,448.815
Point008,4,0.010,-180.748,-164.822,448.820
Point008,5,0.006,-180.747,-164.827,448.807
Point008,6,0.020,-180.759,-164.836,448.801
Point008,7,0.010,-180.744,-164.831,448.808
Point009,1,0.021,-172.134,-189.174,442.024
Point009,2,0.009,-172.136,-189.184,442.018
Point009,3,0.008,-172.141,-189.186,442.013
Point009,4,0.009,-172.141,-189.200,442.021
Point009,5,0.028,-172.137,-189.220,442.016
Point009,6,0.011,-172.142,-189.186,442.010
Point009,7,0.002,-172.139,-189.192,442.015
Point009,8,0.006,-172.143,-189.196,442.016
Point009,9,0.017,-172.135,-189.209,442.021
Point009,10,0.013,-172.141,-189.181,442.020
Point010,1,0.010,-174.062,-164.280,442.123
Point010,2,0.010,-174.063,-164.263,442.129
Point010,3,0.064,-174.032,-164.238,442.176
Point010,4,0.030,-174.077,-164.297,442.123
Point010,5,0.021,-174.068,-164.286,442.116
Point010,6,0.011,-174.066,-164.271,442.122
Point010,7,0.025,-174.042,-164.288,442.122
Point010,8,0.015,-174.067,-164.260,442.128
Point011,1,0.012,-172.093,-189.129,431.963
Point011,2,0.013,-172.097,-189.134,431.966
Point011,3,0.007,-172.103,-189.118,431.966
Point011,4,0.005,-172.098,-189.124,431.960
Point011,5,0.011,-172.113,-189.127,431.965
Point011,6,0.015,-172.106,-189.138,431.962
Point011,7,0.017,-172.109,-189.107,431.958
Point011,8,0.008,-172.108,-189.117,431.959
Point011,9,0.011,-172.105,-189.115,431.954
Point012,1,0.009,-174.060,-164.239,432.136
Point012,2,0.007,-174.064,-164.238,432.139
Point012,3,0.004,-174.062,-164.233,432.136
Point012,4,0.015,-174.067,-164.247,432.137
Point012,5,0.013,-174.074,-164.239,432.128
Point012,6,0.010,-174.072,-164.228,432.130
Point012,7,0.012,-174.064,-164.222,432.130
Point012,8,0.010,-174.074,-164.228,432.140
Point012,9,0.004,-174.064,-164.236,432.137
Point012,10,0.012,-174.059,-164.225,432.142
Point012,11,0.008,-174.066,-164.225,432.137
Point013,1,0.011,-181.253,-158.279,442.250
Point013,2,0.011,-181.234,-158.269,442.251
Point013,3,0.014,-181.243,-158.263,442.245
Point013,4,0.035,-181.267,-158.257,442.235
Point013,5,0.014,-181.247,-158.284,442.261
Point013,6,0.007,-181.240,-158.272,442.256
Point013,7,0.021,-181.229,-158.292,442.255
Point013,8,0.025,-181.229,-158.297,442.250
Point014,1,0.004,-191.238,-159.085,442.260
Point014,2,0.011,-191.245,-159.088,442.259
Point014,3,0.017,-191.233,-159.066,442.251
Point014,4,0.016,-191.235,-159.097,442.259
Point014,5,0.013,-191.240,-159.093,442.263
Point014,6,0.031,-191.225,-159.052,442.258
Point014,7,0.006,-191.241,-159.080,442.260
Point014,8,0.006,-191.230,-159.082,442.256
Point014,9,0.008,-191.234,-159.089,442.257
Point015,1,0.011,-181.222,-158.253,432.169
Point015,2,0.013,-181.216,-158.248,432.171
Point015,3,0.004,-181.217,-158.263,432.169
Point015,4,0.008,-181.213,-158.268,432.172
Point015,5,0.004,-181.217,-158.259,432.176
