Element Name,Number,Deviation,MX Coord.,MY Coord.,MZ Coord.
Point001,1,0.012,-63.144,-40.647,116.732
Point001,2,0.007,-63.139,-40.656,116.735
Point001,3,0.019,-63.146,-40.640,116.732
Point001,4,0.006,-63.139,-40.663,116.732
Point001,5,0.009,-63.147,-40.666,116.729
Point001,6,0.023,-63.148,-40.682,116.732
Point002,1,0.046,-53.127,-40.111,116.730
Point002,2,0.008,-53.125,-40.073,116.741
Point002,3,0.008,-53.122,-40.074,116.743
Point002,4,0.037,-53.130,-40.072,116.783
Point002,5,0.018,-53.134,-40.054,116.738
Point002,6,0.031,-53.120,-40.038,116.745
Point002,7,0.015,-53.121,-40.054,116.746
Point003,1,0.020,-63.063,-40.810,126.768
Point003,2,0.026,-63.065,-40.767,126.760
Point003,3,0.008,-63.055,-40.791,126.761
Point003,4,0.050,-63.058,-40.838,126.738
Point003,5,0.007,-63.060,-40.787,126.755
Point003,6,0.020,-63.062,-40.774,126.765
Point003,7,0.015,-63.072,-40.782,126.759
Point004,1,0.014,-53.096,-40.192,126.730
Point004,2,0.019,-53.102,-40.198,126.726
Point004,3,0.010,-53.098,-40.174,126.716
Point004,4,0.023,-53.091,-40.166,126.705
Point004,5,0.005,-53.092,-40.180,126.724
Point004,6,0.017,-53.100,-40.167,126.735
Point004,7,0.015,-53.102,-40.168,126.731
Point004,8,0.011,-53.098,-40.190,126.722
Point005,1,0.014,-63.482,-34.237,133.342
Point005,2,0.007,-63.489,-34.254,133.352
Point005,3,0.015,-63.504,-34.250,133.348
Point005,4,0.011,-63.497,-34.254,133.351
Point005,5,0.018,-63.471,-34.244,133.348
Point006,1,0.009,-53.495,-33.571,133.360
Point006,2,0.007,-53.496,-33.580,133.357
Point006,3,0.033,-53.528,-33.562,133.371
Point006,4,0.009,-53.496,-33.579,133.353
Point006,5,0.008,-53.498,-33.582,133.354
Point006,6,0.018,-53.505,-33.595,133.362
Point006,7,0.009,-53.494,-33.582,133.358
Point006,8,0.009,-53.502,-33.569,133.364
Point007,1,0.015,-64.944,-9.292,133.746
Point007,2,0.006,-64.941,-9.277,133.743
Point007,3,0.010,-64.950,-9.268,133.744
Point007,4,0.003,-64.945,-9.279,133.746
Point007,5,0.008,-64.945,-9.270,133.750
Point007,6,0.005,-64.948,-9.273,133.743
Point008,1,0.014,-55.022,-8.617,133.734
Point008,2,0.008,-55.022,-8.611,133.718
Point008,3,0.005,-55.022,-8.609,133.728
Point008,4,0.023,-55.025,-8.584,133.724
Point008,5,0.010,-55.016,-8.605,133.725
Point008,6,0.014,-55.040,-8.609,133.725
Point008,7,0.004,-55.028,-8.608,133.721
Point008,8,0.008,-55.029,-8.613,133.720
Point009,1,0.015,-65.424,-2.638,127.234
Point009,2,0.009,-65.421,-2.644,127.231
Point009,3,0.005,-65.420,-2.650,127.220
Point009,4,0.013,-65.420,-2.659,127.217
Point009,5,0.010,-65.417,-2.660,127.224
Point010,1,0.014,-55.416,-2.021,127.243
Point010,2,0.007,-55.410,-2.030,127.231
Point010,3,0.011,-55.404,-2.038,127.231
Point010,4,0.013,-55.403,-2.036,127.248
Point010,5,0.014,-55.414,-2.030,127.251
Point010,6,0.009,-55.416,-2.034,127.244
Point010,7,0.022,-55.400,-2.029,127.218
Point010,8,0.004,-55.411,-2.035,127.236
Point011,1,0.041,-65.360,-2.490,117.146
Point011,2,0.004,-65.330,-2.524,117.146
Point011,3,0.010,-65.333,-2.529,117.138
Point011,4,0.012,-65.331,-2.514,117.153
Point011,5,0.010,-65.332,-2.524,117.153
Point011,6,0.022,-65.315,-2.535,117.141
Point011,7,0.009,-65.327,-2.516,117.139
Point011,8,0.018,-65.330,-2.534,117.131
Point012,1,0.005,-55.389,-1.929,117.156
Point012,2,0.008,-55.386,-1.930,117.144
Point012,3,0.005,-55.390,-1.929,117.155
Point012,4,0.007,-55.389,-1.937,117.157
Point012,5,0.010,-55.390,-1.930,117.161
Point012,6,0.010,-55.379,-1.937,117.149
Point012,7,0.011,-55.384,-1.931,117.141
Point013,1,0.009,-64.897,-8.876,110.416
Point013,2,0.020,-64.893,-8.864,110.419
Point013,3,0.012,-64.890,-8.887,110.401
Point013,4,0.005,-64.893,-8.881,110.416
Point013,5,0.013,-64.895,-8.871,110.418
Point013,6,0.007,-64.893,-8.879,110.417
Point013,7,0.020,-64.903,-8.865,110.405
Point013,8,0.021,-64.888,-8.899,110.400
Point013,9,0.015,-64.895,-8.895,110.405
Point013,10,0.018,-64.893,-8.899,110.407
Point014,1,0.004,-54.953,-8.309,110.451
Point014,2,0.002,-54.950,-8.306,110.452
Point014,3,0.011,-54.943,-8.298,110.456
Point014,4,0.003,-54.949,-8.303,110.452
Point014,5,0.007,-54.956,-8.306,110.448
Point014,6,0.007,-54.957,-8.308,110.457
Point015,1,0.024,-63.420,-33.838,110.043
Point015,2,0.034,-63.411,-33.787,110.067
Point015,3,0.013,-63.403,-33.820,110.043
Point015,4,0.010,-63.417,-33.826,110.054
Point015,5,0.002,-63.413,-33.816,110.054
Point015,6,0.003,-63.410,-33.816,110.050
Point016,1,0.037,-53.446,-33.261,110.055
Point016,2,0.008,-53.442,-33.228,110.071
Point016,3,0.009,-53.446,-33.235,110.072
Point016,4,0.036,-53.453,-33.202,110.093
Point016,5,0.031,-53.456,-33.197,110.064
Point016,6,0.032,-53.452,-33.204,110.046
Point016,7,0.006,-53.453,-33.230,110.065
Point016,8,0.019,-53.448,-33.245,110.074
Point016,9,0.015,-53.447,-33.241,110.070
Point017,1,0.037,-46.801,-32.884,116.651
Point017,2,0.044,-46.808,-32.905,116.649
Point017,3,0.139,-46.750,-32.853,116.813
Point017,4,0.045,-46.820,-32.874,116.648
Point017,5,0.050,-46.814,-32.899,116.642
Point017,6,0.013,-46.808,-32.878,116.681
Point017,7,0.042,-46.812,-32.902,116.651
Point017,8,0.022,-46.811,-32.897,116.672
Point017,9,0.018,-46.815,-32.887,116.677
Point017,10,0.112,-46.765,-32.878,116.794
Point018,1,0.037,-46.828,-32.999,126.725
Point018,2,0.013,-46.832,-33.044,126.742
Point018,3,0.005,-46.827,-33.038,126.733
Point018,4,0.006,-46.830,-33.030,126.733
Point018,5,0.020,-46.838,-33.054,126.729
Point018,6,0.003,-46.833,-33.037,126.735
Point018,7,0.007,-46.836,-33.041,126.733
Point018,8,0.012,-46.839,-33.044,126.727
Point018,9,0.008,-46.824,-33.033,126.733
Point019,1,0.006,-48.325,-7.989,117.073
Point019,2,0.005,-48.332,-7.984,117.071
Point019,3,0.005,-48.328,-7.984,117.069
Point019,4,0.030,-48.326,-8.012,117.063
Point019,5,0.016,-48.330,-7.973,117.063
