Element Name,Number,Deviation,MX Coord.,MY Coord.,MZ Coord.
Point001,1,0.008,-362.941,-61.884,298.940
Point001,2,0.015,-362.947,-61.876,298.942
Point001,3,0.004,-362.944,-61.884,298.929
Point001,4,0.024,-362.927,-61.866,298.921
Point001,5,0.018,-362.937,-61.894,298.916
Point001,6,0.012,-362.936,-61.885,298.920
Point001,7,0.012,-362.944,-61.893,298.937
Point001,8,0.014,-362.946,-61.884,298.944
Point002,1,0.014,-352.910,-61.277,298.946
Point002,2,0.023,-352.927,-61.279,298.963
Point002,3,0.021,-352.925,-61.300,298.961
Point002,4,0.015,-352.921,-61.303,298.948
Point002,5,0.025,-352.908,-61.279,298.923
Point002,6,0.021,-352.915,-61.296,298.925
Point003,1,0.024,-362.862,-61.968,308.962
Point003,2,0.018,-362.883,-61.992,308.971
Point003,3,0.025,-362.887,-62.002,308.973
Point003,4,0.013,-362.863,-61.986,308.947
Point003,5,0.015,-362.873,-61.997,308.943
Point003,6,0.017,-362.867,-61.992,308.941
Point004,1,0.010,-352.902,-61.391,308.938
Point004,2,0.016,-352.894,-61.384,308.933
Point004,3,0.007,-352.903,-61.400,308.925
Point004,4,0.015,-352.913,-61.403,308.937
Point004,5,0.012,-352.908,-61.388,308.938
Point004,6,0.015,-352.902,-61.396,308.914
Point004,7,0.026,-352.896,-61.377,308.912
Point004,8,0.027,-352.913,-61.419,308.938
Point005,1,0.015,-363.307,-55.429,315.541
Point005,2,0.013,-363.321,-55.433,315.550
Point005,3,0.023,-363.335,-55.448,315.551
Point005,4,0.021,-363.296,-55.437,315.534
Point005,5,0.021,-363.317,-55.462,315.536
Point006,1,0.017,-353.284,-54.770,315.529
Point006,2,0.014,-353.275,-54.782,315.528
Point006,3,0.014,-353.275,-54.781,315.528
Point006,4,0.012,-353.298,-54.782,315.531
Point006,5,0.032,-353.300,-54.816,315.528
Point006,6,0.012,-353.288,-54.798,315.525
Point006,7,0.009,-353.293,-54.780,315.531
Point007,1,0.050,-364.743,-30.426,315.867
Point007,2,0.006,-364.711,-30.458,315.843
Point007,3,0.018,-364.698,-30.452,315.843
Point007,4,0.024,-364.713,-30.485,315.847
Point007,5,0.016,-364.709,-30.476,315.848
Point007,6,0.008,-364.709,-30.465,315.842
Point007,7,0.010,-364.705,-30.466,315.843
Point008,1,0.029,-354.789,-29.792,315.836
Point008,2,0.013,-354.779,-29.816,315.832
Point008,3,0.007,-354.786,-29.826,315.832
Point008,4,0.011,-354.786,-29.825,315.842
Point008,5,0.012,-354.783,-29.811,315.831
Point008,6,0.006,-354.787,-29.823,315.829
Point008,7,0.018,-354.800,-29.835,315.827
Point008,8,0.029,-354.815,-29.836,315.834
Point009,1,0.010,-365.195,-23.846,309.319
Point009,2,0.024,-365.191,-23.839,309.331
Point009,3,0.025,-365.193,-23.853,309.334
Point009,4,0.017,-365.183,-23.849,309.298
Point009,5,0.036,-365.211,-23.841,309.278
Point009,6,0.017,-365.194,-23.860,309.298
Point010,1,0.018,-355.189,-23.231,309.313
Point010,2,0.003,-355.176,-23.244,309.319
Point010,3,0.025,-355.174,-23.238,309.345
Point010,4,0.012,-355.170,-23.239,309.328
Point010,5,0.016,-355.183,-23.250,309.306
Point010,6,0.015,-355.176,-23.255,309.311
Point011,1,0.041,-365.063,-23.729,299.240
Point011,2,0.017,-365.092,-23.752,299.209
Point011,3,0.028,-365.102,-23.757,299.202
Point011,4,0.021,-365.093,-23.758,299.199
Point011,5,0.015,-365.063,-23.748,299.208
Point011,6,0.036,-365.042,-23.756,299.222
Point011,7,0.031,-365.059,-23.748,299.235
Point011,8,0.013,-365.074,-23.767,299.216
Point011,9,0.012,-365.079,-23.758,299.199
Point011,10,0.028,-365.087,-23.770,299.189
Point011,11,0.019,-365.077,-23.764,299.194
Point012,1,0.013,-355.127,-23.183,299.222
Point012,2,0.017,-355.134,-23.191,299.203
Point012,3,0.007,-355.129,-23.197,299.212
Point012,4,0.025,-355.138,-23.208,299.200
Point012,5,0.019,-355.109,-23.188,299.212
Point012,6,0.017,-355.126,-23.192,299.201
Point012,7,0.016,-355.141,-23.199,299.218
Point012,8,0.031,-355.114,-23.202,299.245
Point012,9,0.031,-355.112,-23.202,299.244
Point013,1,0.043,-364.696,-30.064,292.532
Point013,2,0.034,-364.635,-30.083,292.548
Point013,3,0.026,-364.651,-30.065,292.531
Point013,4,0.012,-364.656,-30.072,292.552
Point013,5,0.024,-364.667,-30.052,292.534
Point013,6,0.040,-364.693,-30.047,292.540
Point013,7,0.037,-364.639,-30.069,292.584
Point013,8,0.037,-364.669,-30.049,292.588
Point013,9,0.046,-364.629,-30.042,292.585
Point014,1,0.048,-354.681,-29.442,292.615
Point014,2,0.089,-354.791,-29.426,292.562
Point014,3,0.090,-354.791,-29.420,292.562
Point014,4,0.050,-354.751,-29.418,292.572
Point014,5,0.106,-354.618,-29.477,292.620
Point014,6,0.068,-354.638,-29.439,292.592
Point014,7,0.049,-354.659,-29.451,292.560
Point014,8,0.063,-354.751,-29.411,292.538
Point014,9,0.068,-354.647,-29.419,292.538
Point015,1,0.081,-363.260,-54.881,292.247
Point015,2,0.116,-363.290,-54.881,292.196
Point015,3,0.039,-363.177,-54.928,292.210
Point015,4,0.010,-363.189,-54.924,292.240
Point015,5,0.034,-363.172,-54.952,292.235
Point015,6,0.064,-363.147,-54.966,292.265
Point015,7,0.104,-363.137,-54.978,292.314
Point016,1,0.107,-353.179,-54.433,292.316
Point016,2,0.045,-353.291,-54.358,292.247
Point016,3,0.040,-353.271,-54.355,292.244
Point016,4,0.056,-353.230,-54.407,292.312
Point016,5,0.047,-353.244,-54.387,292.318
Point016,6,0.019,-353.243,-54.383,292.277
Point016,7,0.070,-353.317,-54.344,292.248
Point016,8,0.068,-353.319,-54.356,292.245
Point017,1,0.147,-346.705,-54.090,298.669
Point017,2,0.067,-346.683,-54.137,298.736
Point017,3,0.066,-346.637,-54.206,298.815
Point017,4,0.136,-346.653,-54.228,298.904
Point017,5,0.095,-346.642,-54.204,298.869
Point017,6,0.115,-346.637,-54.237,298.729
Point017,7,0.201,-346.660,-53.947,298.827
Point017,8,0.067,-346.630,-54.106,298.845
Point017,9,0.029,-346.648,-54.151,298.769
Point018,1,0.085,-346.658,-54.357,308.897
Point018,2,0.125,-346.692,-54.321,309.063
Point018,3,0.124,-346.677,-54.290,309.067
Point018,4,0.010,-346.674,-54.278,308.943
Point018,5,0.170,-346.697,-54.125,308.901
Point018,6,0.065,-346.673,-54.254,308.888
Point018,7,0.103,-346.668,-54.350,308.861
Point018,8,0.046,-346.660,-54.329,308.929
Point019,1,0.083,-348.116,-29.128,299.307
Point019,2,0.076,-348.140,-29.255,299.344
Point019,3,0.068,-348.109,-29.141,299.288
Point019,4,0.083,-348.116,-29.217,299.206
Point019,5,0.029,-348.128,-29.224,299.311
Point019,6,0.077,-348.167,-29.267,299.313
Point019,7,0.077,-348.099,-29.140,299.259
Point019,8,0.064,-348.126,-29.259,299.325
Point019,9,0.061,-348.118,-29.236,299.234
Point020,1,0.104,-348.138,-29.265,309.219
Point020,2,0.095,-348.178,-29.286,309.336
Point020,3,0.052,-348.160,-29.305,309.247
Point020,4,0.024,-348.178,-29.352,309.247
Point020,5,0.045,-348.164,-29.365,309.226
Point020,6,0.056,-348.146,-29.373,309.221
Point020,7,0.138,-348.160,-29.397,309.138
Point020,8,0.096,-348.161,-29.394,309.355
Point020,9,0.089,-348.186,-29.390,309.347
Point020,10,0.096,-348.198,-29.391,309.351
Point021,1,0.089,-123.763,-136.619,310.971
Point021,2,0.330,-123.905,-136.757,311.159
Point021,3,0.087,-123.706,-136.623,310.953
Point021,4,0.130,-123.630,-136.648,310.855
Point021,5,0.473,-123.842,-136.684,310.422
Point021,6,0.081,-123.720,-136.632,310.957
Point021,7,0.169,-123.786,-136.666,311.051
Point021,8,0.106,-123.699,-136.608,310.805
Point021,9,0.113,-123.754,-136.569,310.803
Point022,1,0.095,-116.956,-129.433,309.181
Point022,2,0.189,-117.009,-129.441,309.259
Point022,3,0.103,-116.818,-129.460,309.042
Point022,4,0.162,-116.802,-129.464,308.978
Point022,5,0.119,-116.909,-129.467,309.227
Point022,6,0.123,-116.937,-129.443,309.226
Point022,7,0.101,-116.856,-129.430,309.018
Point022,8,0.163,-116.862,-129.429,308.951
Point023,1,0.095,-121.441,-136.271,320.568
Point023,2,0.252,-121.500,-136.346,320.834
Point023,3,0.171,-121.361,-136.347,320.763
Point023,4,0.153,-121.324,-136.400,320.718
Point023,5,0.223,-121.371,-136.370,320.380
Point023,6,0.392,-121.513,-136.374,320.222
Point023,7,0.124,-121.360,-136.379,320.711
Point024,1,0.195,-114.621,-129.258,318.963
Point024,2,0.092,-114.510,-129.263,318.728
Point024,3,0.096,-114.488,-129.290,318.832
Point024,4,0.291,-114.554,-129.288,318.492
Point024,5,0.264,-114.613,-129.349,319.040
Point024,6,0.203,-114.630,-129.279,318.973
Point024,7,0.199,-114.560,-129.258,318.591
Point024,8,0.157,-114.495,-129.268,318.650
