Element Name,Number,Deviation,MX Coord.,MY Coord.,MZ Coord.
Point001,1,0.021,177.662,-16.152,431.159
Point001,2,0.007,177.667,-16.170,431.162
Point001,3,0.009,177.670,-16.173,431.174
Point001,4,0.011,177.653,-16.168,431.164
Point001,5,0.017,177.654,-16.186,431.166
Point001,6,0.010,177.660,-16.181,431.171
Point001,7,0.017,177.675,-16.172,431.179
Point002,1,0.013,167.626,-15.916,431.077
Point002,2,0.006,167.626,-15.929,431.083
Point002,3,0.010,167.620,-15.938,431.080
Point002,4,0.007,167.626,-15.922,431.079
Point002,5,0.008,167.615,-15.929,431.077
Point002,6,0.005,167.619,-15.932,431.079
Point003,1,0.013,177.497,-16.086,441.202
Point003,2,0.020,177.527,-16.078,441.202
Point003,3,0.007,177.514,-16.087,441.208
Point003,4,0.003,177.507,-16.088,441.205
Point003,5,0.014,177.501,-16.098,441.203
Point003,6,0.004,177.509,-16.085,441.200
Point004,1,0.008,167.517,-15.850,441.068
Point004,2,0.006,167.512,-15.856,441.070
Point004,3,0.012,167.508,-15.853,441.053
Point004,4,0.010,167.511,-15.850,441.056
Point004,5,0.017,167.518,-15.869,441.073
Point005,1,0.038,177.342,-22.709,447.768
Point005,2,0.014,177.299,-22.702,447.738
Point005,3,0.014,177.299,-22.702,447.739
Point005,4,0.022,177.290,-22.711,447.742
Point005,5,0.008,177.304,-22.708,447.746
Point005,6,0.006,177.303,-22.703,447.747
Point005,7,0.028,177.329,-22.685,447.755
Point006,1,0.004,167.281,-22.518,447.654
Point006,2,0.028,167.270,-22.497,447.642
Point006,3,0.011,167.278,-22.532,447.655
Point006,4,0.008,167.273,-22.526,447.651
Point006,5,0.023,167.294,-22.538,447.659
Point006,6,0.012,167.290,-22.524,447.656
Point006,7,0.014,167.267,-22.527,447.654
Point006,8,0.014,167.281,-22.508,447.651
Point007,1,0.015,176.593,-47.734,447.941
Point007,2,0.022,176.592,-47.699,447.928
Point007,3,0.016,176.598,-47.704,447.933
