Element Name,Number,Deviation,MX Coord.,MY Coord.,MZ Coord.
1,1,0,9.994,-18.997,-5.107
2,1,0,20.036,-19.042,-5.214
3,1,0,10.078,-19.136,4.83
4,1,0,20.069,-19.153,4.784
5,1,0,10.063,-12.564,11.403
6,1,0,20.098,-12.544,11.379
7,1,0,10.203,12.431,11.775
8,1,0,20.141,12.434,11.712
9,1,0,10.115,19.048,5.249
10,1,0,20.148,19.032,5.256
11,1,0,10.204,19.165,-4.827
12,1,0,20.166,19.129,-4.835
13,1,0,10.178,12.751,-11.557
14,1,0,20.163,12.708,-11.541
15,1,0,10.108,-12.215,-11.901
16,1,0,20.093,-12.285,-11.913
17,1,0,26.745,-12.322,-5.317
18,1,0,26.737,-12.485,4.733
19,1,0,26.807,12.634,-4.918
20,1,0,26.799,12.515,5.074
