Element Name,Number,Deviation,MX Coord.,MY Coord.,MZ Coord.
Point001,1,0.000,-89.973,-74.978,301.751
Point002,1,0.000,-73.564,-84.033,301.604
Point003,1,0.000,-57.434,-74.293,301.602
Point004,1,0.000,-57.595,-54.892,301.733
Point005,1,0.000,-74.727,-45.806,301.756
Point006,1,0.000,-90.802,-55.923,301.917
Point007,1,0.000,110.218,-70.336,301.307
Point008,1,0.000,126.658,-79.318,301.155
Point009,1,0.000,142.752,-69.522,301.144
Point010,1,0.000,142.513,-50.117,301.253
Point011,1,0.000,125.348,-41.095,301.297
Point012,1,0.000,109.313,-51.267,301.472
Point013,1,0.000,113.915,-270.572,301.281
Point014,1,0.000,130.348,-279.560,301.137
Point015,1,0.000,146.450,-269.766,301.143
Point016,1,0.000,146.212,-250.375,301.270
Point017,1,0.000,129.050,-241.349,301.294
Point018,1,0.000,113.013,-251.514,301.465
Point019,1,0.000,-86.662,-275.128,301.740
Point020,1,0.000,-70.260,-284.177,301.598
Point021,1,0.000,-54.131,-274.441,301.605
Point022,1,0.000,-54.297,-255.033,301.732
Point023,1,0.000,-71.430,-245.951,301.740
Point024,1,0.000,-87.511,-256.065,301.891
Point025,1,0.000,-86.763,-274.913,101.559
Point026,1,0.000,-70.353,-283.974,101.419
Point027,1,0.000,-54.214,-274.258,101.449
Point028,1,0.000,-54.364,-254.846,101.596
Point029,1,0.000,-71.486,-245.754,101.607
Point030,1,0.000,-87.576,-255.860,101.746
Point031,1,0.000,-90.241,-74.752,101.543
Point032,1,0.000,-73.846,-83.818,101.378
Point033,1,0.000,-57.712,-74.082,101.371
Point034,1,0.000,-57.864,-54.673,101.516
Point035,1,0.000,-74.988,-45.581,101.554
Point036,1,0.000,-91.069,-55.672,101.735
Point037,1,0.000,109.987,-70.055,101.206
Point038,1,0.000,126.427,-79.059,101.028
Point039,1,0.000,142.533,-69.263,101.051
Point040,1,0.000,142.297,-49.859,101.187
Point041,1,0.000,125.149,-40.833,101.251
Point042,1,0.000,109.096,-50.985,101.397
Point043,1,0.000,113.715,-270.314,101.145
Point044,1,0.000,130.153,-279.296,100.997
Point045,1,0.000,146.260,-269.494,101.020
Point046,1,0.000,146.033,-250.107,101.161
Point047,1,0.000,128.873,-241.057,101.184
Point048,1,0.000,112.835,-251.226,101.334
Point049,1,0.000,-89.323,-71.269,303.102
Point050,1,0.000,-72.692,-81.065,303.149
Point051,1,0.000,-56.026,-71.487,303.353
Point052,1,0.000,-55.851,-52.304,303.372
Point053,1,0.000,-72.954,-42.458,303.373
Point054,1,0.000,-89.289,-52.459,303.294
Point055,1,0.000,111.516,-69.243,303.176
Point056,1,0.000,128.208,-78.979,303.229
Point057,1,0.000,144.868,-69.398,303.412
Point058,1,0.000,145.012,-50.200,303.449
Point059,1,0.000,127.899,-40.371,303.454
Point060,1,0.000,111.575,-50.392,303.385
Point061,1,0.000,112.715,-268.748,302.529
Point062,1,0.000,129.450,-278.495,302.540
Point063,1,0.000,146.101,-268.853,302.729
Point064,1,0.000,146.242,-249.668,302.788
Point065,1,0.000,129.125,-239.842,302.836
Point066,1,0.000,112.803,-249.865,302.763
Point067,1,0.000,-87.947,-271.292,302.474
Point068,1,0.000,-71.236,-281.035,302.518
Point069,1,0.000,-54.577,-271.483,302.690
Point070,1,0.000,-54.398,-252.285,302.733
Point071,1,0.000,-71.490,-242.438,302.776
Point072,1,0.000,-87.830,-252.427,302.703
Point073,1,0.000,-87.849,-270.493,102.336
Point074,1,0.000,-71.226,-280.266,102.379
Point075,1,0.000,-54.560,-270.678,102.582
Point076,1,0.000,-54.393,-251.500,102.614
Point077,1,0.000,-71.502,-241.673,102.632
Point078,1,0.000,-87.838,-251.673,102.546
Point079,1,0.000,-89.508,-70.886,102.918
Point080,1,0.000,-72.788,-80.498,103.063
Point081,1,0.000,-56.138,-70.943,103.250
Point082,1,0.000,-55.949,-51.755,103.277
Point083,1,0.000,-73.042,-41.918,103.255
Point084,1,0.000,-89.413,-51.915,103.195
Point085,1,0.000,111.378,-68.673,103.171
Point086,1,0.000,128.027,-78.511,103.231
Point087,1,0.000,144.667,-68.907,103.423
Point088,1,0.000,144.786,-49.648,103.460
Point089,1,0.000,127.658,-39.902,103.446
Point090,1,0.000,111.335,-49.913,103.376
Point091,1,0.000,112.614,-267.961,102.522
Point092,1,0.000,129.258,-277.714,102.564
Point093,1,0.000,145.896,-268.122,102.755
Point094,1,0.000,146.016,-248.908,102.825
Point095,1,0.000,128.895,-239.126,102.851
Point096,1,0.000,112.590,-249.175,102.767
