Element Name,Number,Deviation,MX Coord.,MY Coord.,MZ Coord.
Point001,1,0.012,238.559,-13.449,308.002
Point001,2,0.048,238.558,-13.446,308.039
Point001,3,0.183,238.591,-13.412,308.169
Point001,4,0.071,238.561,-13.473,307.928
Point001,5,0.086,238.554,-13.456,307.907
Point001,6,0.145,238.517,-13.409,307.857
Point001,7,0.070,238.549,-13.444,307.923
Point001,8,0.121,238.577,-13.442,308.112
Point002,1,0.143,228.523,-13.138,307.961
Point002,2,0.040,228.569,-13.123,308.064
Point002,3,0.084,228.626,-13.109,308.155
Point002,4,0.146,228.688,-13.100,308.194
Point002,5,0.025,228.616,-13.145,308.096
Point002,6,0.127,228.631,-13.155,307.954
Point002,7,0.083,228.564,-13.142,308.006
Point002,8,0.016,228.598,-13.146,308.080
Point002,9,0.123,228.653,-13.107,308.188
Point002,10,0.030,228.591,-13.159,308.072
Point003,1,0.077,238.560,-10.892,317.740
Point003,2,0.035,238.531,-10.890,317.666
Point003,3,0.092,238.533,-10.879,317.774
Point003,4,0.131,238.549,-10.885,317.811
Point003,5,0.022,238.495,-10.882,317.669
Point003,6,0.103,238.513,-10.881,317.584
Point003,7,0.111,238.527,-10.880,317.577
Point003,8,0.073,238.484,-10.870,317.618
Point003,9,0.050,238.471,-10.868,317.652
Point003,10,0.032,238.479,-10.863,317.695
Point003,11,0.053,238.469,-10.850,317.713
Point003,12,0.062,238.482,-10.850,317.738
Point004,1,0.034,228.485,-10.565,317.508
Point004,2,0.055,228.492,-10.561,317.550
Point004,3,0.027,228.538,-10.543,317.501
Point004,4,0.016,228.512,-10.551,317.488
Point004,5,0.064,228.557,-10.561,317.451
Point004,6,0.008,228.517,-10.566,317.498
Point004,7,0.010,228.518,-10.563,317.510
Point005,1,0.045,238.416,-15.495,325.305
Point005,2,0.081,238.397,-15.432,325.294
Point005,3,0.092,238.460,-15.552,325.309
Point005,4,0.076,238.443,-15.541,325.309
Point005,5,0.147,238.514,-15.581,325.319
Point005,6,0.184,238.533,-15.608,325.296
Point005,7,0.134,238.323,-15.532,325.451
Point005,8,0.328,238.262,-15.241,325.505
Point005,9,0.187,238.372,-15.597,325.500
Point005,10,0.087,238.331,-15.441,325.340
Point005,11,0.106,238.335,-15.417,325.311
Point005,12,0.062,238.369,-15.457,325.307
